Alias,Language
htaccess,apache
sh,bash
c,c
h,c
cc,c++
cpp,c++
cxx,c++
c++,c++
hh,c++
hpp,c++
hxx,c++
h++,c++
cs,csharp
clj,clojure
cljs,clojure
cljc,clojure
edn,clojure
cbl,cobol
cob,cobol
cpy,cobol
coffee,coffeescript
litcoffee,coffeescript
cr,crystal
css,css
d,d
dart,dart
ex,elixir
exs,elixir
erl,erlang
hrl,erlang
f,fortran
for,fortran
f90,fortran
fs,mllike
fsi,mllike
fsx,mllike
fsscript,mllike
ml,mllike
mli,mllike
graphql,graphql
gql,graphql
go,golang
groovy,groovy
hbs,handlebars
handlebars,handlebars
hs,haskell
lhs,haskell
hx,haxe
hxml,haxe
html,htmlmixed
java,java
class,java
jar,java
js,javascript
json,json
jsx,jsx
kt,kotlin
kts,kotlin
tex,stex
lisp,commonlisp
cl,commonlisp
lsp,commonlisp
md,markdown
nb,mathematica
wl,mathematica
nt,ntriples
conf,nginx
nim,nimrod
m,objectivec
mm,objectivec
M,objectivec
pp,pascal
pas,pascal
inc,pascal
php,php
phtml,php
php3,php
php4,php
php5,php
php7,php
phps,php
php-s,php
ps1,powershell
ps1xml,powershell
psc1,powershell
psd1,powershell
psm1,powershell
pssc,powershell
cdxml,powershell
py,python
pyc,python
pyd,python
pyo,python
pyw,python
pyz,python
r,r
R,r
RData,r
rds,r
rda,r
rb,ruby
rs,rust
rslib,rust
sass,sass
scss,sass
scala,scala
sc,scala
sql,sql
stylus,stylus
swift,swift
tcl,tcl
tbc,tcl
toml,toml
ttl,turtle
ts,typescript
tsx,typescript
vb,vb
v,verilog
vhdl,vhdl
vhd,vhdl
vue,vue
xml,xml
yaml,yaml
yml,yaml
